arm,workload,cache_state,entities,source_sha256,source_bytes,sidecar_bytes,first_scan_us,first_git_identity_us,first_source_revalidation_us,first_sidecar_encode_us,repetition,git_identity_us,source_revalidation_us,sidecar_decode_us,identity_only_untrusted_decode_us,total_validated_reuse_us,full_git_snapshot_a1_us,process_state,arm_order,setup_pid,a1_pid,reuse_pid,a1_process_wall_us,reuse_process_wall_us,sidecar_read_us,full_sidecar_open_us
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,27,21333,442478,50821,72154,514635,212917,fresh_exec_per_arm,reuse_then_a1,79186,95326,95038,219196,524253,732,515368
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,28,24997,200708,49636,74633,275345,199632,fresh_exec_per_arm,a1_then_reuse,79186,95615,95902,205576,283759,702,276047
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,29,20919,197317,50523,71442,268761,196386,fresh_exec_per_arm,reuse_then_a1,79186,96482,96194,201843,277078,693,269455
E2-git-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18832156,326479,21418,479110,106467,0,20453,481438,202148,222601,704042,365195,fresh_exec_per_arm,a1_then_reuse,96877,97164,97451,380422,729834,2563,706605
E2-git-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18832156,326479,21418,479110,106467,1,21134,482040,198897,220031,702073,399165,fresh_exec_per_arm,reuse_then_a1,96877,98026,97739,415235,729293,2624,704698
E2-git-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18832156,326479,21418,479110,106467,2,23310,806434,209852,233162,1039598,362946,fresh_exec_per_arm,a1_then_reuse,96877,98315,98602,378677,1066542,2713,1042312
E2-git-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18832156,326479,21418,479110,106467,3,33139,1030845,203680,236819,1267666,464841,fresh_exec_per_arm,reuse_then_a1,96877,99179,98889,482604,1307566,2637,1270303
E2-git-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18832156,326479,21418,479110,106467,4,21247,470078,217968,239215,709295,366900,fresh_exec_per_arm,a1_then_reuse,96877,99466,99753,381997,738426,2469,711765
E2-git-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18832156,326479,21418,479110,106467,5,23248,563602,231258,254506,818111,472933,fresh_exec_per_arm,reuse_then_a1,96877,562,188,490285,851535,2964,821075
E2-git-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18832156,326479,21418,479110,106467,6,21707,500280,201361,223068,723350,387247,fresh_exec_per_arm,a1_then_reuse,96877,901,1189,404490,750151,2620,725970
