arm,workload,cache_state,entities,source_sha256,source_bytes,sidecar_bytes,first_scan_us,first_sidecar_encode_us,repetition,source_revalidation_us,sidecar_decode_us,total_validated_reuse_us,full_a1_us,process_state,arm_order,setup_pid,a1_pid,reuse_pid,a1_process_wall_us,reuse_process_wall_us,sidecar_read_us,full_sidecar_open_us
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,8,381476,206206,587684,249850,fresh_exec_per_arm,a1_then_reuse,61120,61193,61194,304964,616244,3081,590765
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,9,359165,207948,567113,229261,fresh_exec_per_arm,reuse_then_a1,61120,61198,61195,251299,598474,2518,569632
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,10,377407,213962,591371,240454,fresh_exec_per_arm,a1_then_reuse,61120,61199,61200,264900,621733,2470,593841
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,11,374847,210304,585152,237612,fresh_exec_per_arm,reuse_then_a1,61120,61202,61201,261104,615874,2647,587799
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,12,397279,220126,617406,239602,fresh_exec_per_arm,a1_then_reuse,61120,61203,61204,260624,648048,2634,620040
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,13,396161,276288,672462,322708,fresh_exec_per_arm,reuse_then_a1,61120,61210,61208,347111,706190,2669,675131
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,14,421222,251925,673148,360699,fresh_exec_per_arm,a1_then_reuse,61120,61211,61214,390752,701317,3460,676608
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,15,380400,225676,606077,256789,fresh_exec_per_arm,reuse_then_a1,61120,61216,61215,283046,636429,2492,608570
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,16,424803,276087,700892,335770,fresh_exec_per_arm,a1_then_reuse,61120,61217,61220,381305,731484,2707,703599
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,17,494080,221939,716021,283100,fresh_exec_per_arm,reuse_then_a1,61120,61222,61221,305063,750147,2695,718717
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,18,443163,210054,653218,249608,fresh_exec_per_arm,a1_then_reuse,61120,61223,61224,274760,683159,2652,655871
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,19,379094,219795,598891,338062,fresh_exec_per_arm,reuse_then_a1,61120,61281,61225,362968,628671,2805,601696
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,20,388618,218551,607170,314460,fresh_exec_per_arm,a1_then_reuse,61120,61293,61302,339638,682656,2811,609982
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,21,601128,207930,809059,236619,fresh_exec_per_arm,reuse_then_a1,61120,61305,61304,261945,847257,2943,812003
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,22,387698,218421,606119,251276,fresh_exec_per_arm,a1_then_reuse,61120,61306,61307,274763,635738,2771,608891
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,23,382780,216910,599691,265415,fresh_exec_per_arm,reuse_then_a1,61120,61309,61308,288671,628063,2665,602357
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,24,395468,213566,609035,273791,fresh_exec_per_arm,a1_then_reuse,61120,61310,61311,297122,638124,2595,611631
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,25,360409,249085,609495,263514,fresh_exec_per_arm,reuse_then_a1,61120,61313,61312,296639,635293,2832,612328
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,26,357995,207903,565899,237916,fresh_exec_per_arm,a1_then_reuse,61120,61314,61315,259267,591702,2712,568612
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,27,350263,199637,549901,228184,fresh_exec_per_arm,reuse_then_a1,61120,61317,61316,249921,577711,2545,552446
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,28,398163,229255,627418,224750,fresh_exec_per_arm,a1_then_reuse,61120,61318,61319,244862,655458,2684,630104
E1-dirty-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18830250,421961,83762,29,401543,206038,607582,229406,fresh_exec_per_arm,reuse_then_a1,61120,61321,61320,251044,637100,2436,610019
