arm,workload,cache_state,entities,fields,source_sha256,source_bytes,physical_read_bytes,nesting_scan_bytes,json_parser_deserializer_bytes,canonical_render_bytes,entity_records,formula_ast_nodes,reference_edges,formula_dependency_edges,repetition,order,source_known_us,first_source_preview_us,semantic_current_us
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,14,A0-first,,,112318
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,14,A0-first,152,302,57578
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,15,A1-first,96,250,58133
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,15,A1-first,,,111634
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,16,A0-first,,,112443
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,16,A0-first,134,292,57889
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,17,A1-first,88,235,56606
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,17,A1-first,,,111193
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,18,A0-first,,,113384
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,18,A0-first,155,324,57357
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,19,A1-first,103,259,57400
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,19,A1-first,,,112767
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,20,A0-first,,,113308
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,20,A0-first,188,393,57864
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,21,A1-first,128,289,57039
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,21,A1-first,,,109637
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,22,A0-first,,,111645
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,22,A0-first,132,292,55717
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,23,A1-first,128,280,57501
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,23,A1-first,,,111752
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,24,A0-first,,,112172
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,24,A0-first,131,311,56376
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,25,A1-first,123,275,55836
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,25,A1-first,,,110178
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,26,A0-first,,,110562
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,26,A0-first,130,286,56335
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,27,A1-first,92,229,56325
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,27,A1-first,,,110308
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,28,A0-first,,,112068
